제목,평점,개봉,연간,누적
쿵푸팬더3,7.6, 2016.01.28. ,3984812,3984814
귀향,9.7, 2016.02.24. ,3587173,3587252
데드풀,6.8, 2016.02.17. ,3317196,3322773
나우 유 씨 미 2,6.9, 2016.07.13. ,3100113,3100113
형,7.3, 2016.11.23. ,2979780,2982514
엑스맨: 아포칼립스,6.9, 2016.05.25. ,2938818,2938818
미스 페레그린과 이상한 아이들의 집,7.9, 2016.09.28. ,2718158,2718158
히말라야,6.6, 2015.12.16. ,2630352,7759761
제이슨 본,7.6, 2016.07.27. ,2611966,2611969
도리를 찾아서,6.7, 2016.07.06. ,2601734,2601761
아수라,6.6, 2016.09.28. ,2594028,2594778
정글북,6.8, 2016.06.09. ,2537438,2537438
마이펫의 이중생활,6.7, 2016.08.03. ,2520670,2520700
라라랜드,8.0, 2020.03.25. ,2383457,3738232
배트맨 대 슈퍼맨: 저스티스의 시작,6.1, 2016.03.24. ,2256913,2256913
베테랑,8.4, 2015.08.05. ,13414009,13414484
암살,8.5, 2015.07.22. ,12705700,12706829
어벤져스: 에이지 오브 울트론,7.8, 2015.04.23. ,10494499,10504007
국제시장,7.1, 2014.12.17. ,8915904,14263945
내부자들,8.2, 2015.11.19. ,7046188,7073581
사도,7.8, 2015.09.16. ,6246851,6247651
킹스맨 : 시크릿 에이전트,7.9, 2015.02.11. ,6129681,6129681
미션 임파서블: 로그네이션,8.1, 2015.07.30. ,6126488,6126488
연평해전,6.6, 2015.06.24. ,6043784,6045049
쥬라기 월드,6.7, 2015.06.11. ,5546792,5547463
검은 사제들,7.4, 2015.11.05. ,5442069,5443232
히말라야,6.6, 2015.12.16. ,4834434,7759761
인사이드 아웃,8.4, 2015.07.09. ,4969735,4969735
마션,7.3, 2015.10.08. ,4880800,4887144
조선명탐정 : 사라진 놉의 딸,7.0, 2015.02.11. ,3872015,3872015
매드 맥스: 분노의 도로,8.6, 2020.06.04. ,3843266,3914023
인턴,8.1, 2015.09.24. ,3610562,3611166
분노의 질주: 더 세븐,8.8, 2015.04.01. ,3247955,3250439
터미네이터 제니시스,5.9, 2015.07.02. ,3240370,3240370
스물,7.1, 2015.03.25. ,3044811,3044859
극비수사,7.7, 2015.06.18. ,2860786,2860786
앤트맨,7.9, 2015.09.03. ,2841795,2847712
스타워즈: 깨어난 포스,7.3, 2015.12.17. ,2708279,3273873
빅 히어로,7.8, 2015.01.21. ,2801949,2801949
메이즈 러너: 스코치 트라이얼,6.6, 2015.09.16. ,2744413,2744413
탐정 : 더 비기닝,7.4, 2015.09.24. ,2625686,2625686
미니언즈,7.4, 2015.07.29. ,2625599,2626097
스파이,7.7, 2015.05.21. ,,2318748
악의 연대기,7.2, 2015.05.14. ,,2192525
강남 1970,7.1, 2015.01.21. ,,2192276
명량,7.8, 2014.07.30. ,17611849,17615686
겨울왕국,8.2, 2014.01.16. ,10296101,10303058
인터스텔라,8.0, 2016.01.14. ,10089971,10309432
해적: 바다로 간 산적,7.7, 2014.08.06. ,8665652,8666208
